"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"485",2635,1701114,"Alton city, Illinois",26640,6631,6539,2095,18581,1001,240,125,908,1701114,6,3,1,0,1,0,0,1,2,0,6,3461,0.186265540067811,0.248911411411411,0.986125772884934,3.75375375375375e-05,0,0
"486",2636,1731121,"Grayslake village, Illinois",20720,588,588,4555,13517,2272,289,277,1475,1731121,5,1,0,0,0,0,0,0,4,0,5,7393,0.546940889250573,0.0283783783783784,1,0,0,NA
"487",2637,1734722,"Highland Park city, Illinois",29628,242,213,7476,20981,4163,2913,925,615,1734722,7,2,0,0,0,0,0,0,4,0,7,15477,0.737667413374005,0.00816794923720805,0.880165289256198,0,0,NA
"488",2640,1722697,"Edwardsville city, Illinois",25171,2834,1972,4336,13554,2112,470,474,6114,1722697,8,2,0,0,0,0,0,0,3,0,8,7392,0.545374059318282,0.112589885185332,0.695836273817925,0,0,NA
"489",2643,1719642,"Des Plaines city, Illinois",58673,1301,1147,10680,43342,4386,1015,455,2844,1719642,3,1,0,0,0,0,0,0,2,0,3,16536,0.381523695260948,0.0221737426073322,0.88162951575711,0,0,NA
"490",2650,1738115,"Jacksonville city, Illinois",18859,2263,1374,1381,12688,573,100,68,1922,1738115,3,1,0,0,0,0,0,0,1,0,3,2122,0.167244640605296,0.119995757993531,0.607158638974812,0,0,NA
"491",2652,1723074,"Elgin city, Illinois",112653,6634,6387,11356,72059,5169,586,524,6406,1723074,26,6,0,0,0,0,0,0,15,0,26,17635,0.244730012906091,0.0588888001207247,0.962767561049141,0,0,NA
"492",2655,1706613,"Bloomington city, Illinois",78015,8114,7724,15766,51061,6520,1293,1044,6332,1706613,24,8,0,0,0,0,0,0,14,0,24,24623,0.482227140087347,0.104005639941037,0.951934927286172,0,0,NA
"493",2671,1723256,"Elk Grove Village village, Illinois",32942,533,514,5810,24549,2542,283,203,1771,1723256,2,2,0,0,0,0,0,0,0,0,2,8838,0.360014664548454,0.016179952644041,0.964352720450281,0,0,NA
"494",2689,2739878,"Mankato city, Minnesota",42093,2350,2125,5306,21720,2152,433,643,10325,2739878,213,21,1,0,1,0,1,1,14,0,213,8534,0.392909760589319,0.0558287601263868,0.904255319148936,2.37569192027178e-05,0,0
"495",2707,2803980,"Bay St. Louis city, Mississippi",13018,2060,2014,1561,9185,700,124,109,589,2803980,3,1,0,0,0,0,0,0,2,0,3,2494,0.271529667936854,0.158242433553541,0.977669902912621,0,0,NA
"496",2713,2640960,"Iron Mountain city, Michigan",7369,92,69,917,5063,352,104,15,303,2640960,6,1,0,0,0,0,0,0,2,0,6,1388,0.274145763381394,0.0124847333423802,0.75,0,0,NA
"497",2717,2608300,"Big Rapids city, Michigan",10355,738,427,645,3830,334,86,125,4547,2608300,5,1,0,0,0,0,0,0,4,0,5,1190,0.310704960835509,0.0712699179140512,0.578590785907859,0,0,NA
"498",2720,2655820,"Mount Clemens city, Michigan",16315,4013,3496,1309,11673,449,88,73,652,2655820,11,4,0,0,0,0,0,0,3,0,11,1919,0.16439647048745,0.245969966288691,0.871168701719412,0,0,NA
"499",2722,2669800,"Roseville city, Michigan",47400,9544,9483,3196,33274,1002,55,26,2201,2669800,2,1,0,0,0,0,0,0,1,0,2,4279,0.128598906052774,0.201350210970464,0.993608549874267,0,0,NA
"500",2731,2730392,"Hugo city, Minnesota",14767,153,153,2530,9847,851,197,117,499,2730392,1,1,0,0,0,0,0,0,0,0,1,3695,0.375241190210216,0.0103609399336358,1,0,0,NA
"501",2733,2771734,"Worthington city, Minnesota",13105,896,882,845,8134,224,80,23,242,2771734,2,1,0,0,0,0,0,0,1,0,2,1172,0.144086550282764,0.0683708508202976,0.984375,0,0,NA
"502",2739,2754880,"Rochester city, Minnesota",115557,9430,9195,20042,77987,9415,4074,2891,5157,2754880,45,5,1,0,1,0,0,0,30,0,45,36422,0.467026555708003,0.0816047491714046,0.97507953340403,8.65373798212138e-06,0,0
"503",2741,2743720,"Montevideo city, Minnesota",5108,80,77,509,3549,94,21,15,122,2743720,1,1,0,0,0,0,0,0,0,0,1,639,0.180050718512257,0.0156617071260767,0.9625,0,0,NA
"504",2743,2701900,"Apple Valley city, Minnesota",52889,4585,4578,10861,35461,3966,731,411,2418,2701900,1,1,0,0,0,0,0,0,0,0,1,15969,0.450325709934858,0.0866909943466505,0.998473282442748,0,0,NA
"505",2750,505290,"Benton city, Arkansas",35679,3128,3078,4273,23559,1532,491,259,1312,505290,1,1,0,0,0,0,0,0,0,0,1,6555,0.278237616197631,0.0876706185711483,0.984015345268542,0,0,NA
"506",2759,501870,"Arkadelphia city, Arkansas",10670,3444,2832,931,4985,433,108,187,3321,501870,2,1,0,0,0,0,0,0,1,0,2,1659,0.332798395185557,0.322774133083411,0.822299651567944,0,0,NA
"507",2783,232150,"Healy CDP, Alaska",968,8,8,149,654,63,6,0,30,232150,1,1,0,0,0,0,0,0,0,0,1,218,0.333333333333333,0.00826446280991736,1,0,0,NA
"508",2795,241830,"Kotzebue city, Alaska",3287,76,76,216,1927,112,19,8,115,241830,2,1,0,0,0,0,0,0,1,0,2,355,0.184224182667359,0.023121387283237,1,0,0,NA
"509",2797,622412,"El Segundo city, California",16731,626,625,4440,11756,1724,539,159,823,622412,1,1,0,0,0,0,0,0,0,0,1,6862,0.583701939435182,0.0374155758771143,0.998402555910543,0,0,NA
"510",2800,643000,"Long Beach city, California",466776,59126,58321,63290,314077,24192,6361,3961,38715,643000,63,12,10,2,10,2,3,7,34,0,63,97804,0.311401344256345,0.126668894716095,0.986385008287386,2.14235521963426e-05,4.28471043926851e-06,0.2
"511",2801,656000,"Pasadena city, California",141258,12385,12090,29594,104515,15653,5014,4398,9419,656000,56,10,3,2,2,1,1,2,32,0,56,54659,0.52297756302923,0.0876764501833524,0.976180863948325,1.41584901386116e-05,7.07924506930581e-06,0.5
"512",2802,658072,"Pomona city, California",152209,8599,8140,12389,93424,3341,685,424,13882,658072,12,5,4,2,3,2,1,2,4,0,12,16839,0.180242764171947,0.0564946882247436,0.946621700197697,1.97097412110979e-05,1.31398274740653e-05,0.666666666666667
"513",2806,683332,"Walnut city, California",29903,1273,1269,8425,22218,2318,722,235,2073,683332,5,1,0,0,0,0,0,0,2,0,5,11700,0.526600054010262,0.0425709795003846,0.996857816182247,0,0,NA
"514",2810,2483100,"Westminster city, Maryland",18552,1902,1595,2484,11788,1018,233,122,2137,2483100,18,9,1,0,1,0,0,1,6,0,18,3857,0.327197149643705,0.102522639068564,0.838590956887487,5.39025442000862e-05,0,0
"515",2811,2430900,"Frostburg city, Maryland",8591,1133,127,435,4099,641,30,94,3050,2430900,5,4,0,0,0,0,0,0,1,0,5,1200,0.292754330324469,0.131882202304738,0.112091791703442,0,0,NA
