"","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate"
"11","2726126","Grove City city, Minnesota",615,0,0,26,330,12,0,3,21,"2726126",NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0.124242424242424,0,NA
"12","2756554","Sabin city, Minnesota",622,0,0,56,390,23,1,0,13,"2756554",NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0.205128205128205,0,NA
"13","2706382","Blaine city, Minnesota",64114,3785,3765,10340,42574,3501,532,470,2517,"2706382",2,3,NA,NA,NA,NA,NA,NA,2,14843,0.348640015032649,0.0590354680724959,0.994715984147952
"14","2710648","Centerville city, Minnesota",3985,0,0,873,2617,149,13,0,111,"2710648",NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,0.395491020252197,0,NA
"15","2711494","Circle Pines city, Minnesota",4950,106,106,818,3451,360,13,0,144,"2711494",1,NA,NA,NA,NA,NA,NA,NA,1,1191,0.345117357287743,0.0214141414141414,1
"16","2713114","Coon Rapids city, Minnesota",62517,5009,5008,8146,43790,2646,363,120,3229,"2713114",2,NA,1,NA,1,NA,NA,1,1,11275,0.257478876455812,0.0801222067597613,0.999800359353164
"17","2763544","Sunfish Lake city, Minnesota",542,7,7,130,369,54,66,19,15,"2763544",NA,NA,NA,NA,NA,NA,NA,NA,NA,269,0.7289972899729,0.0129151291512915,1
"18","2769700","West St. Paul city, Minnesota",19779,1002,990,2922,13988,1013,326,122,856,"2769700",1,2,NA,NA,NA,NA,NA,NA,1,4383,0.313340005719188,0.0506597906870924,0.988023952095808
"19","2760250","Silver Bay city, Minnesota",1722,9,9,292,1330,55,13,5,28,"2760250",1,NA,NA,NA,NA,NA,NA,NA,1,365,0.274436090225564,0.00522648083623693,1
"20","2765956","Two Harbors city, Minnesota",3509,51,30,383,2355,108,33,7,107,"2765956",1,NA,NA,NA,NA,NA,NA,NA,1,531,0.225477707006369,0.0145340552864064,0.588235294117647
"21","2726630","Halstad city, Minnesota",581,24,24,62,418,7,0,0,29,"2726630",NA,NA,NA,NA,NA,NA,NA,NA,NA,69,0.165071770334928,0.0413080895008606,1
"22","2720978","Fertile city, Minnesota",966,2,2,83,705,15,18,0,19,"2720978",NA,NA,NA,NA,NA,NA,NA,NA,NA,116,0.164539007092199,0.0020703933747412,1
"23","2721158","Fisher city, Minnesota",503,8,2,67,284,25,0,0,28,"2721158",NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0.323943661971831,0.0159045725646123,0.25
"24","2739050","McIntosh city, Minnesota",612,3,3,37,460,16,0,0,4,"2739050",NA,NA,NA,NA,NA,NA,NA,NA,NA,53,0.115217391304348,0.00490196078431373,1
"25","2715832","Detroit Lakes city, Minnesota",9197,89,78,1286,6304,350,173,95,351,"2715832",5,1,NA,NA,NA,NA,NA,NA,5,1904,0.302030456852792,0.00967706860932913,0.876404494382023
"26","2770006","White Earth CDP, Minnesota",567,0,0,15,313,0,0,0,20,"2770006",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.0479233226837061,0,NA
"27","2712700","Columbia Heights city, Minnesota",20118,3628,3618,2901,14378,753,94,114,819,"2712700",3,NA,1,NA,NA,NA,NA,NA,1,3862,0.26860481290861,0.180336017496769,0.997243660418964
"28","2753026","Ramsey city, Minnesota",26638,727,727,3496,17350,1173,212,170,1407,"2753026",NA,NA,NA,NA,NA,NA,NA,NA,NA,5051,0.291123919308357,0.0272918387266311,1
"29","2624120","East Lansing city, Michigan",48729,3307,2055,4795,14774,3314,861,1663,28246,"2624120",31,8,NA,NA,NA,NA,NA,NA,18,10633,0.719710301881684,0.0678651316464528,0.621409132143937
"30","2656320","Muskegon city, Michigan",37633,12035,9883,2281,25098,798,145,32,2419,"2656320",10,10,1,NA,NA,NA,NA,NA,6,3256,0.129731452705395,0.319799112481067,0.821188201080183
"31","2641680","Jenison CDP, Michigan",17431,185,185,2460,11757,646,92,142,606,"2641680",2,1,1,NA,NA,NA,NA,NA,2,3340,0.284086076380029,0.0106132751993575,1
"32","2685080","Webberville village, Michigan",1322,0,0,118,875,25,15,0,29,"2685080",NA,NA,NA,NA,NA,NA,NA,NA,NA,158,0.180571428571429,0,NA
"33","2669420","Romulus city, Michigan",23527,9570,9516,1833,15062,655,35,74,1225,"2669420",4,1,1,NA,NA,NA,NA,NA,2,2597,0.172420661266764,0.406766693586093,0.99435736677116
"34","2649640","Ludington city, Michigan",8069,95,68,819,5712,430,74,49,239,"2649640",8,1,1,NA,NA,NA,NA,NA,5,1372,0.240196078431373,0.0117734539595985,0.71578947368421
"35","2684000","Warren city, Michigan",134797,26064,25772,12203,94552,4126,765,413,6648,"2684000",11,7,3,1,1,1,NA,1,10,17507,0.185157373720281,0.193357418933656,0.988796807857581
"36","2601180","Algonac city, Michigan",4028,11,3,338,2906,92,12,0,202,"2601180",NA,NA,NA,NA,NA,NA,NA,NA,NA,442,0.152099105299381,0.00273088381330685,0.272727272727273
"37","2647230","Level Park-Oak Park CDP, Michigan",3833,270,270,235,2728,92,29,7,228,"2647230",NA,NA,NA,NA,NA,NA,NA,NA,NA,363,0.133064516129032,0.0704409079050352,1
"38","2679720","Three Oaks village, Michigan",1354,9,9,118,971,44,20,13,39,"2679720",NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0.200823892893924,0.00664697193500739,1
"39","2689320","Zilwaukee city, Michigan",1668,15,15,99,1101,53,0,2,201,"2689320",NA,NA,NA,NA,NA,NA,NA,NA,NA,154,0.139872842870118,0.00899280575539568,1
"40","2605320","Baraga village, Michigan",2142,715,5,95,1549,12,3,3,56,"2605320",1,NA,NA,NA,NA,NA,NA,NA,NA,113,0.0729502905100065,0.333800186741363,0.00699300699300699
"41","2636700","Harper Woods city, Michigan",13895,8315,8117,1197,9218,716,115,73,601,"2636700",NA,NA,NA,NA,NA,NA,NA,NA,NA,2101,0.227923627684964,0.598416696653473,0.976187612748046
