"","City","ProtestSize"
"706","Dalles, OR",NA
"707","Dalton, GA",NA
"708","Daly City, CA",NA
"709","Damascus, MD",200
"710","Dana Point, CA",600
"711","Danbury, CT",NA
"712","Dania Beach, FL",NA
"713","Dansville, NY",11
"714","Danville, CA",NA
"715","Danville, IL",300
"716","Danville, KY",NA
"717","Danville, PA",300
"718","Danville, VA",NA
"719","Darien, CT",NA
"720","Darlington, SC",NA
"721","Dartmouth, MA",NA
"722","Davenport, FL",NA
"723","Davenport, IA",NA
"724","Davidson, NC",24
"725","Davie, FL",36
"726","Davis, CA",200
"727","Davison, MI",200
"728","Dayton, OH",NA
"729","Daytona Beach Shores, FL",NA
"730","Daytona Beach, FL",NA
"731","De Pere, WI",65
"732","Dearborn, MI",NA
"733","Decatur, AL",200
"734","Decatur, GA",NA
"735","Decatur, IL",253.75
"736","Decorah, IA",200
"737","Deep River, CT",NA
"738","Deer Park, NY",NA
"739","Deerfield, IL",NA
"740","Defiance, OH",NA
"741","DeForest, WI",6
"742","DeFuniak Springs, FL",232
"743","Dekalb, IL",175
"744","DeKalb, IL",NA
"745","Del Rio, TX",NA
"746","DeLand, FL",NA
"747","Delano, CA",NA
"748","Delaware, OH",400
"749","Delhi, NY",300.5
"750","Delmar, NY",200
"751","Delran, NJ",1000
"752","Delray Beach, FL",140
"753","Deming, NM",9
"754","Denham Springs, LA",NA
"755","Denison, IA",13
"756","Denison, TX",200
"757","Denton, TX",NA
"758","Denver, CO",NA
"759","Denville, NJ",600
"760","Derby, CT",NA
"761","Derby, KS",NA
"762","DeRidder, LA",NA
"763","Derry Township, PA",NA
"764","Derry, NH",100
"765","Des Moines, IA",NA
"766","Desert Hot Springs, CA",50
"767","Detroit Lakes, MN",36
"768","Detroit, MI",NA
"769","DeWitt, NY",29
"770","Diamond Bar, CA",480
"771","Dickinson, ND",NA
"772","Dickinson, TX",24
"773","Dillingham, AK",80
"774","Dobbs Ferry, NY",400
"775","Dodge City, KS",NA
"776","Dodgeville, WI",36
"777","Dolores, CO",100
"778","Doral, FL",NA
"779","Dormont, PA",350
"780","Dothan, AL",NA
"781","Douglasville, GA",200
"782","Dover, DE",NA
"783","Dover, NH",200
"784","Dover, NJ",NA
"785","Downers Grove, IL",200
"786","Downey, CA",300
"787","Downingtown, PA",NA
"788","Doylestown, PA",NA
"789","Drexel Hill, PA",NA
"790","Drexel HIll, PA",NA
"791","Du Quoin, IL",110
"792","Dublin, CA",200
"793","Dublin, GA",24
"794","Dublin, NH",NA
"795","Dublin, OH",200
"796","DuBois, PA",NA
"797","Dubois, WY",NA
"798","Dubuque, IA",NA
"799","Duluth, GA",NA
"800","Duluth, MN",NA
"801","Dumfries, VA",75
"802","Dunkirk, NY",NA
"803","Dunn, NC",200
"804","Dunwoody, GA",175
"805","Durango, CO",177.5
"806","Durant, OK",200
"807","Durham, CT",NA
"808","Durham, NC",NA
"809","Duvall, WA",90
"810","Dyer, IN",NA
"811","Dyersburg, TN",43.3333333333333
"812","Eagan, MN",150
"813","Eagle Pass, TX",100
"814","Eagleville, PA",NA
"815","Easley, SC",150
"816","East Brunswick, NJ",750
"817","East Granby, CT",NA
"818","East Grand Forks, MN",200
"819","East Grand Rapids, MI",NA
"820","East Hampton, CT",200
"821","East Hartford, CT",300
"822","East Haven, CT",NA
"823","East Lansing, MI",NA
"824","East Liverpool, OH",100
"825","East Longmeadow, MA",150
"826","East Los Angeles, CA",NA
"827","East Lyme, CT",NA
"828","East Meadow, NY",NA
"829","East Orange, NJ",200
"830","East Palo Alto, CA",NA
"831","East Petersburg, PA",NA
"832","East Pittsburgh, PA",70
"833","East Saint Louis, IL",NA
"834","East Spencer, NC",500
"835","East Stroudsberg, PA",NA
"836","East Stroudsburg, PA",1100
"837","East Tawas, MI",24
"838","Easthampton, MA",300
"839","Easton, MA",NA
"840","Easton, MD",NA
"841","Easton, PA",2000
"842","Eastpointe, MI",300
"843","Eastsound, WA",NA
"844","Eaton, NH",16
"845","Eaton, OH",NA
"846","Eau Claire, WI",NA
"847","Ebensburg, PA",18
"848","Eddyville, KY",NA
"849","Edgewater, IL",NA
"850","Edgewater, MD",300
"851","Edgewood, MD",24
"852","Edina, MN",NA
"853","Edinburg, TX",550
"854","Edison, NJ",200
"855","Edmond, OK",62
"856","Edmonds, WA",NA
"857","Edna, TX",80
"858","Edwardsville, IL",225
"859","Effingham, IL",NA
"860","El Cajon, CA",300
"861","El Campo, TX",NA
"862","El Centro, CA",200
"863","El Cerito, CA",NA
