"","PLACEFIPS","PostGFProtestCount"
"1118","1773170",1
"1119","1773391",1
"1120","1774119",1
"1121","1774574",2
"1122","1775484",1
"1123","1775614",1
"1124","1776407",3
"1125","1777005",4
"1126","1777694",2
"1127","1777993",1
"1128","1779150",1
"1129","1779293",8
"1130","1781048",1
"1131","1782075",3
"1132","1782530",1
"1133","1783349",9
"1134","1800820",1
"1135","1800910",2
"1136","1801468",9
"1137","1801666",1
"1138","1802674",4
"1139","1804114",3
"1140","1805860",21
"1141","1810342",3
"1142","1812628",1
"1143","1812934",2
"1144","1814734",5
"1145","1814932",1
"1146","1815256",1
"1147","1815742",3
"1148","1816138",3
"1149","1819270",1
"1150","1819486",2
"1151","1820728",4
"1152","1822000",15
"1153","1823278",1
"1154","1825000",27
"1155","1825702",1
"1156","1827000",4
"1157","1828386",15
"1158","1829358",1
"1159","1829520",4
"1160","1829898",2
"1161","1830042",2
"1162","1831000",3
"1163","1833142",1
"1164","1833466",2
"1165","1834114",3
"1166","1835302",2
"1167","1836003",48
"1168","1837782",3
"1169","1838358",6
"1170","1840392",4
"1171","1840788",8
"1172","1841535",2
"1173","1842246",2
"1174","1842426",2
"1175","1842462",2
"1176","1845144",1
"1177","1845990",1
"1178","1846908",3
"1179","1847448",4
"1180","1848528",2
"1181","1848798",1
"1182","1848924",1
"1183","1849932",7
"1184","1850202",1
"1185","1850976",1
"1186","1851732",1
"1187","1851876",11
"1188","1851912",2
"1189","1852038",1
"1190","1852326",2
"1191","1854180",2
"1192","1857780",2
"1193","1858662",1
"1194","1859328",1
"1195","1860822",2
"1196","1861092",3
"1197","1861236",2
"1198","1862046",1
"1199","1864260",6
"1200","1866438",1
"1201","1866852",3
"1202","1868220",2
"1203","1868832",3
"1204","1869318",1
"1205","1871000",19
"1206","1875428",18
"1207","1878326",6
"1208","1879208",1
"1209","1879370",1
"1210","1880306",2
"1211","1880504",1
"1212","1882376",1
"1213","1882862",3
"1214","1884014",1
"1215","1886084",1
"1216","1886372",2
"1217","1901135",1
"1218","1901855",6
"1219","1902305",2
"1220","1903520",1
"1221","1906355",3
"1222","1907480",2
"1223","1909550",1
"1224","1911215",2
"1225","1911755",4
"1226","1912000",16
"1227","1912270",1
"1228","1912765",1
"1229","1914430",1
"1230","1916230",3
"1231","1916860",1
"1232","1917220",1
"1233","1919000",9
"1234","1919405",3
"1235","1919945",1
"1236","1921000",61
"1237","1922395",9
"1238","1926445",2
"1239","1928380",1
"1240","1928515",2
"1241","1932790",1
"1242","1933105",1
"1243","1933195",1
"1244","1938280",1
"1245","1938595",58
"1246","1940845",2
"1247","1942015",1
"1248","1944400",2
"1249","1949215",1
"1250","1949485",2
"1251","1949755",1
"1252","1950160",3
"1253","1954840",1
"1254","1955110",1
"1255","1956505",2
"1256","1957675",2
"1257","1959925",1
"1258","1960465",2
"1259","1973335",9
"1260","1974280",1
"1261","1975630",2
"1262","1975675",1
"1263","1982200",1
"1264","1982425",10
"1265","1984900",1
"1266","2000125",1
"1267","2002900",1
"1268","2009000",1
"1269","2010600",1
"1270","2014600",1
"1271","2017800",2
"1272","2018250",1
"1273","2020075",1
"1274","2021275",2
"1275","2025325",1
"1276","2025425",2
"1277","2028300",1
"1278","2030825",1
"1279","2031100",2
"1280","2033625",5
"1281","2035750",2
"1282","2036000",9
"1283","2038900",12
"1284","2039000",2
"1285","2039075",1
"1286","2039350",1
"1287","2039825",3
"1288","2043950",1
"1289","2044250",11
"1290","2050475",1
"1291","2052575",6
"1292","2053725",1
"1293","2053775",34
"1294","2054675",1
"1295","2056025",3
"1296","2057575",1
"1297","2057625",1
"1298","2062700",1
"1299","2068200",1
"1300","2071000",21
"1301","2073250",1
"1302","2076475",1
"1303","2079000",22
"1304","2079950",5
"1305","2102368",3
"1306","2103574",1
"1307","2103628",1
"1308","2105824",3
"1309","2105842",6
"1310","2108902",17
"1311","2111278",1
"1312","2111692",1
"1313","2117362",3
"1314","2117848",2
"1315","2119882",3
"1316","2123824",1
"1317","2124274",2
"1318","2124778",1
"1319","2125300",1
"1320","2127982",1
"1321","2128558",1
"1322","2128612",1
"1323","2128900",17
"1324","2128918",1
"1325","2130700",2
"1326","2131114",1
"1327","2132572",5
"1328","2133022",1
"1329","2134732",1
"1330","2134966",1
"1331","2135362",1
"1332","2135866",4
"1333","2137918",4
"1334","2139430",1
"1335","2140222",1
"1336","2143480",1
"1337","2144686",1
"1338","2146027",38
"1339","2147476",2
"1340","2149116",1
"1341","2149368",3
"1342","2151024",1
"1343","2153418",1
"1344","2154084",1
"1345","2154642",7
"1346","2155884",1
"1347","2156136",1
"1348","2157090",1
"1349","2158620",10
"1350","2158836",11
"1351","2158962",1
"1352","2160852",2
"1353","2162940",1
"1354","2163138",1
"1355","2165226",5
"1356","2167512",2
"1357","2167944",1
"1358","2170050",1
"1359","2171688",3
"1360","2179482",2
"1361","2180490",1
"1362","2182776",2
"1363","2183676",3
"1364","2200100",1
"1365","2200975",4
"1366","2203985",1
"1367","2204020",2
"1368","2205000",26
"1369","2206120",1
"1370","2208920",2
"1371","2218125",2
"1372","2218650",2
"1373","2220435",2
"1374","2220610",1
"1375","2226280",1
"1376","2227155",1
"1377","2229850",3
"1378","2232755",1
"1379","2233245",3
"1380","2233420",1
"1381","2236255",3
"1382","2240735",16
"1383","2240840",1
"1384","2241050",1
"1385","2241155",6
"1386","2242030",1
"1387","2243010",1
"1388","2248365",1
"1389","2248785",1
"1390","2250115",1
"1391","2250885",2
"1392","2251410",2
"1393","2252075",1
"1394","2253545",1
"1395","2254035",1
"1396","2255000",41
"1397","2257450",1
"1398","2258045",2
"1399","2260495",3
"1400","2261790",1
"1401","2266655",1
"1402","2267215",2
"1403","2267600",2
"1404","2270000",18
"1405","2270805",2
"1406","2274690",1
"1407","2275425",1
"1408","2279240",1
"1409","2279870",1
"1410","2282460",1
"1411","2282495",1
